name,base_name,variant_label,sku,price,active,sort_order,category
"5-Amino-1MQ - 50mg · Lyophilized · pen","5-Amino-1MQ","50mg · Lyophilized · pen",1,99,TRUE,1,"Weight Management / Metabolic Support"
"AOD-9404 - 10 mg · Lyophilized · pen","AOD-9404","10 mg · Lyophilized · pen",2,105,TRUE,2,"Weight Management / Metabolic Support"
"AOD-9604 - 5mg · Lyophilized · injection","AOD-9604","5mg · Lyophilized · injection",3,69,TRUE,3,"Weight Management / Metabolic Support"
"AOD-9604 - 10mg (10ml) · Liquid · injection","AOD-9604","10mg (10ml) · Liquid · injection",4,99,TRUE,4,"Weight Management / Metabolic Support"
"Cagrilintide - 5 mg · Lyophilized · injection","Cagrilintide","5 mg · Lyophilized · injection",20,85,TRUE,20,"Weight Management / Metabolic Support"
"Cagrilintide - 25mg (5ml) · Liquid · injection","Cagrilintide","25mg (5ml) · Liquid · injection",21,250,TRUE,21,"Weight Management / Metabolic Support"
"Cagrilintide - 10 mg · Lyophilized · pen","Cagrilintide","10 mg · Lyophilized · pen",22,149,TRUE,22,"Weight Management / Metabolic Support"
"Retatrutide - 10 mg · Lyophilized · injection","Retatrutide","10 mg · Lyophilized · injection",74,125,TRUE,74,"Weight Management / Metabolic Support"
"Retatrutide - 50 mg · Lyophilized · injection","Retatrutide","50 mg · Lyophilized · injection",75,449,TRUE,75,"Weight Management / Metabolic Support"
"Retatrutide - 60mg (3ml) · Lyophilized · injection","Retatrutide","60mg (3ml) · Lyophilized · injection",76,475,TRUE,76,"Weight Management / Metabolic Support"
"Retatrutide - 60mg (3ml) · Liquid · injection","Retatrutide","60mg (3ml) · Liquid · injection",77,499,TRUE,77,"Weight Management / Metabolic Support"
"Retatrutide - 100mg (5ml) · Liquid · injection","Retatrutide","100mg (5ml) · Liquid · injection",78,579,TRUE,78,"Weight Management / Metabolic Support"
"Retatrutide - 200mg (10ml) · Liquid · injection","Retatrutide","200mg (10ml) · Liquid · injection",79,899,TRUE,79,"Weight Management / Metabolic Support"
"Semaglutide - 20 mg · Lyophilized · injection","Semaglutide","20 mg · Lyophilized · injection",89,165,TRUE,89,"Weight Management / Metabolic Support"
"Semaglutide - 25 mg (10ml) · Liquid · injection","Semaglutide","25 mg (10ml) · Liquid · injection",90,175,TRUE,90,"Weight Management / Metabolic Support"
"Semaglutide - 50 mg (10ml) · Liquid · injection","Semaglutide","50 mg (10ml) · Liquid · injection",91,200,TRUE,91,"Weight Management / Metabolic Support"
"SLU-PP-332 - 250mcg · Lyophilized · capsules","SLU-PP-332","250mcg · Lyophilized · capsules",98,99,TRUE,98,"Weight Management / Metabolic Support"
"Tirzepatide - 10 mg · Lyophilized · injection","Tirzepatide","10 mg · Lyophilized · injection",113,85,TRUE,113,"Weight Management / Metabolic Support"
"Tirzepatide - 60 mg · Lyophilized · injection","Tirzepatide","60 mg · Lyophilized · injection",114,325,TRUE,114,"Weight Management / Metabolic Support"
"Tirzepatide - 100 mg (5ml) · Liquid · injection","Tirzepatide","100 mg (5ml) · Liquid · injection",115,199,TRUE,115,"Weight Management / Metabolic Support"
"Tirzepatide - 100 mg (10ml) · Liquid · injection","Tirzepatide","100 mg (10ml) · Liquid · injection",116,259,TRUE,116,"Weight Management / Metabolic Support"
"Tirzepatide - 200 mg (10 ml) · Liquid · injection","Tirzepatide","200 mg (10 ml) · Liquid · injection",117,349,TRUE,117,"Weight Management / Metabolic Support"
"Bacteriostatic Water - 3mL · Liquid","Bacteriostatic Water","3mL · Liquid",5,9,TRUE,5,"Supplies / Diluent"
"Bacteriostatic Water - 10mL · Liquid","Bacteriostatic Water","10mL · Liquid",6,19,TRUE,6,"Supplies / Diluent"
"BPC-157 - 500mcg · Lyophilized · capsules","BPC-157","500mcg · Lyophilized · capsules",11,149,TRUE,11,"Recovery / Tissue Repair / Inflammation"
"BPC-157 - 5 mg · Lyophilized · injection","BPC-157","5 mg · Lyophilized · injection",12,35,TRUE,12,"Recovery / Tissue Repair / Inflammation"
"BPC-157 - 10mg (10ml) · Lyophilized · injection","BPC-157","10mg (10ml) · Lyophilized · injection",13,55,TRUE,13,"Recovery / Tissue Repair / Inflammation"
"BPC-157 - 10mg (10ml) · Liquid · injection","BPC-157","10mg (10ml) · Liquid · injection",14,79,TRUE,14,"Recovery / Tissue Repair / Inflammation"
"BPC-157 - 20mg (10ml) · Liquid · injection","BPC-157","20mg (10ml) · Liquid · injection",15,99,TRUE,15,"Recovery / Tissue Repair / Inflammation"
"BPC-157 + TB-500 - 5mg/5mg · Lyophilized · injection","BPC-157 + TB-500","5mg/5mg · Lyophilized · injection",16,79,TRUE,16,"Recovery / Tissue Repair / Inflammation"
"BPC-157 + TB-500 - 10mg/10mg (10ml) · Liquid · injection","BPC-157 + TB-500","10mg/10mg (10ml) · Liquid · injection",17,139,TRUE,17,"Recovery / Tissue Repair / Inflammation"
"BPC-157 + TB-500 - 15mg/15mg · Lyophilized · injection","BPC-157 + TB-500","15mg/15mg · Lyophilized · injection",18,149,TRUE,18,"Recovery / Tissue Repair / Inflammation"
"BPC-157 + TB-500 - 10mg/10mg · Lyophilized · pen","BPC-157 + TB-500","10mg/10mg · Lyophilized · pen",19,155,TRUE,19,"Recovery / Tissue Repair / Inflammation"
"GLOW (BPC-157 + TB-500 + GHK-CU) - 10mg/10mg/50 mg (10ml) · Lyophilized · injection","GLOW (BPC-157 + TB-500 + GHK-CU)","10mg/10mg/50 mg (10ml) · Lyophilized · injection",7,119,TRUE,7,"Recovery / Tissue Repair / Inflammation"
"GLOW (BPC-157 + TB-500 + GHK-CU) - 10mg/10mg/50 mg (10ml) · Liquid · injection","GLOW (BPC-157 + TB-500 + GHK-CU)","10mg/10mg/50 mg (10ml) · Liquid · injection",8,129,TRUE,8,"Recovery / Tissue Repair / Inflammation"
"GLOW (BPC-157 + TB-500 + GHK-CU) - 10mg/10mg/50mg · Lyophilized · pen","GLOW (BPC-157 + TB-500 + GHK-CU)","10mg/10mg/50mg · Lyophilized · pen",42,219,TRUE,42,"Recovery / Tissue Repair / Inflammation"
"KLOW (KPV + BPC-157 + TB-500 + GHK-CU) - 5mg/5mg/50mg/5mg · Lyophilized · injection","KLOW (KPV + BPC-157 + TB-500 + GHK-CU)","5mg/5mg/50mg/5mg · Lyophilized · injection",9,139,TRUE,9,"Recovery / Tissue Repair / Inflammation"
"KLOW (KPV + BPC-157 + TB-500 + GHK-CU) - 10mg/10mg/50mg/10mg (10ml) · Liquid · Injection","KLOW (KPV + BPC-157 + TB-500 + GHK-CU)","10mg/10mg/50mg/10mg (10ml) · Liquid · Injection",10,169,TRUE,10,"Recovery / Tissue Repair / Inflammation"
